uic,gare,trains_directs_jour,trains_pointe_matin,trains_arr_lille_matin,trains_pointe_soir,tps_trajet_median_min,tps_trajet_min_min,premier_train,dernier_train,amplitude_h,gares_lille_desservies,lignes,retour_trains_directs_jour,retour_pointe_soir,retour_dernier_depart_lille,autocars_directs_jour,vitesse_gc_rapide_kmh,remarque,stop_lat,stop_lon
87287276,Ennevelin,1,1,1,0,14.0,14.0,07:07,07:07,0.0,Flandres,C60,1,1,17:09,0,50.0,,50.549123,3.158711
87286609,Nomain,1,1,1,0,22.0,22.0,07:29,07:29,0.0,Flandres,C60,1,1,17:39,0,48.0,,50.50252,3.205983
87345132,Coron de Méricourt,1,1,1,0,34.0,34.0,07:16,07:16,0.0,Flandres,C41,1,1,17:40,0,49.0,,50.414934,2.886156
87317057,Rang-du-Fliers - Verton - Berck,1,1,1,0,92.0,92.0,06:32,06:32,0.0,Europe,K94+,0,0,,0,67.0,,50.415845,1.648048
87296293,Fresnoy-le-Grand,1,0,0,1,101.0,101.0,17:56,17:56,0.0,Flandres,K40,1,0,07:23,0,48.0,,49.949908,3.432208
87296269,Bohain,1,0,0,1,96.0,96.0,18:01,18:01,0.0,Flandres,K40,1,0,07:23,0,48.0,,49.988418,3.443168
87317065,Étaples - Le Touquet,1,1,1,0,81.0,81.0,06:43,06:43,0.0,Europe,K94+,0,0,,0,75.0,,50.516544,1.642582
87172007,Charleville-Mézières,1,1,1,0,145.0,145.0,06:30,06:30,0.0,Flandres,K61,1,1,17:05,0,63.0,,49.76763,4.724344
87171710,Courcy - Brimont,0,0,0,0,,,,,,,,0,0,,0,,,49.3296,4.013462
87171702,Aguilcourt - Variscourt,0,0,0,0,,,,,,,,0,0,,0,,,49.407994,3.973095
87171595,Rilly-la-Montagne,0,0,0,0,,,,,,,,0,0,,0,,,49.166504,4.040812
87171579,Avenay,0,0,0,0,,,,,,,,0,0,,0,,,49.064783,4.043689
87171561,Ay-Champagne,0,0,0,0,,,,,,,,0,0,,0,,,49.048797,4.00169
87171553,Épernay,0,0,0,0,,,,,,,,0,0,,0,,,49.046289,3.959798
87345421,Arleux,0,0,0,0,,,,,,,,0,0,,0,,,50.286347,3.120522
87175000,Saint-Dizier,0,0,0,0,,,,,,,,0,0,,0,,,48.642404,4.947855
87174276,Vitry-le-François,0,0,0,0,,,,,,,,0,0,,0,,,48.717913,4.587515
87174003,Châlons-en-Champagne,0,0,0,0,,,,,,,,0,0,,0,,,48.955252,4.348656
87171769,Coucy-lès-Eppes,0,0,0,0,,,,,,,,0,0,,0,,,49.556266,3.774726
87171751,Saint-Erme,0,0,0,0,,,,,,,,0,0,,0,,,49.526949,3.857591
87171744,Amifontaine,0,0,0,0,,,,,,,,0,0,,0,,,49.484738,3.910666
87171736,Guignicourt,0,0,0,0,,,,,,,,0,0,,0,,,49.434862,3.961334
87281410,Pont d'Ardres,0,0,0,0,,,,,,,,0,0,,0,,,50.892121,1.970791
87281402,Coudekerque-Branche,0,0,0,0,,,,,,,,1,0,05:40,0,,,51.017916,2.375182
87281311,Grande-Synthe,0,0,0,0,,,,,,,,0,0,,0,,,51.002569,2.313346
87281279,Bourbourg,0,0,0,0,,,,,,,,0,0,,0,,,50.952229,2.194259
87281246,Gravelines,0,0,0,0,,,,,,,,0,0,,0,,,50.978868,2.123312
87276774,Ourscamps,0,0,0,0,,,,,,,,0,0,,0,,,49.533927,2.954338
87276766,Ribécourt,0,0,0,0,,,,,,,,0,0,,0,,,49.506302,2.927092
87276741,Thourotte,0,0,0,0,,,,,,,,0,0,,0,,,49.475429,2.881771
87276733,Le Meux - La Croix-Saint-Ouen,0,0,0,0,,,,,,,,0,0,,0,,,49.35949,2.753483
87276725,Chambly,0,0,0,0,,,,,,,,0,0,,0,,,49.163605,2.240538
87276717,Bornel - Belle-Église,0,0,0,0,,,,,,,,0,0,,0,,,49.194621,2.207241
87276691,Compiègne,0,0,0,0,,,,,,,,0,0,,0,,,49.421977,2.823693
87276618,Montataire,0,0,0,0,,,,,,,,0,0,,0,,,49.251143,2.435958
87281469,Ebblinghem,0,0,0,0,,,,,,,,0,0,,0,,,50.730637,2.409058
87281451,Renescure,0,0,0,0,,,,,,,,0,0,,0,,,50.732006,2.371364
87295667,Ors,0,0,0,0,,,,,,,,0,0,,0,,,50.103238,3.627036
87295642,Landrecies,0,0,0,0,,,,,,,,0,0,,0,,,50.128148,3.682571
87295568,Hautmont,0,0,0,0,,,,,,,,0,0,,0,,,50.253993,3.915207
87295543,Sous le Bois,0,0,0,0,,,,,,,,0,0,,0,,,50.265748,3.939508
87295535,Louvroil,0,0,0,0,,,,,,,,0,0,,0,,,50.268537,3.953691
87295220,Le Cateau,0,0,0,0,,,,,,,,0,0,,0,,,50.091512,3.539982
87295022,Recquignies,0,0,0,0,,,,,,,,0,0,,0,,,50.284146,4.043803
87287300,Ruminghem,0,0,0,0,,,,,,,,0,0,,0,,,50.861744,2.158317
87287292,Nortkerque,0,0,0,0,,,,,,,,0,0,,0,,,50.882822,2.02363
87296178,Clacy - Mons,0,0,0,0,,,,,,,,0,0,,0,,,49.543787,3.576635
87296152,Crépy - Couvron,0,0,0,0,,,,,,,,0,0,,0,,,49.62325,3.516475
87296145,Origny-en-Thiérache,0,0,0,0,,,,,,,,0,0,,0,,,49.890821,4.023957
87296129,Vervins,0,0,0,0,,,,,,,,0,0,,0,,,49.829884,3.893519
87296095,Marle sur Serre,0,0,0,0,,,,,,,,0,0,,0,,,49.746918,3.769971
87296012,Laon,0,0,0,0,,,,,,,,0,0,,0,,,49.570578,3.62434
87295808,Berlaimont,0,0,0,0,,,,,,,,0,0,,0,,,50.198044,3.810429
87295790,Leval,0,0,0,0,,,,,,,,0,0,,0,,,50.184614,3.836629
87295774,Dompierre,0,0,0,0,,,,,,,,0,0,,0,,,50.145955,3.871082
87295725,Avesnelles,0,0,0,0,,,,,,,,0,0,,0,,,50.118497,3.948638
87297291,Barenton-Bugny,0,0,0,0,,,,,,,,0,0,,0,,,49.630696,3.655698
87297283,Vauxaillon,0,0,0,0,,,,,,,,0,0,,0,,,49.47424,3.40953
87297150,Voyenne,0,0,0,0,,,,,,,,0,0,,0,,,49.726227,3.720575
87297143,Dercy - Froidmont,0,0,0,0,,,,,,,,0,0,,0,,,49.702784,3.69205
87297119,Verneuil-sur-Serre,0,0,0,0,,,,,,,,0,0,,0,,,49.648709,3.667803
87297085,La Bouteille,0,0,0,0,,,,,,,,0,0,,0,,,49.859729,3.981616
87297051,Viry-Noureuil,0,0,0,0,,,,,,,,0,0,,0,,,49.627357,3.250169
87296871,Flavy-le-Martel,0,0,0,0,,,,,,,,0,0,,0,,,49.718446,3.190179
87296632,La Fère,0,0,0,0,,,,,,,,0,0,,0,,,49.658015,3.369817
87296616,Chauny,0,0,0,0,,,,,,,,0,0,,0,,,49.611165,3.223484
