code_insee,commune,dep,PMUN,dans_MEL,acces_piscine_moy_min,acces_piscine_min_min,acces_fitness_moy_min,acces_fitness_min_min,acces_randonnee_moy_min,acces_randonnee_min_min,acces_gymnase_moy_min,acces_gymnase_min_min,nb_clubs_actifs,clubs_pour_1000hab,part_pop_ev_300m,surf_ev_m2_par_hab
59360,Loos,59,23013,True,3.8,1.0,3.3,1.0,3.2,1.0,2.2,1.0,35,1.52,99.9,42.0
59361,Lourches,59,3814,False,5.6,3.8,3.3,1.9,11.0,8.8,1.6,1.0,6,1.57,100.0,123.0
59367,Lys-lez-Lannoy,59,13793,True,3.8,1.0,1.9,1.0,10.5,8.4,1.7,1.0,21,1.52,100.0,22.0
59369,Maing,59,4004,False,6.4,2.1,5.1,1.7,10.1,5.7,2.4,1.0,3,0.75,100.0,588.0
59375,Marchiennes,59,4539,False,9.0,5.8,3.1,1.0,7.0,2.5,2.3,1.0,17,3.75,100.0,2522.0
59378,Marcq-en-Barœul,59,39356,True,3.1,1.0,2.8,1.0,5.5,2.0,2.1,1.0,56,1.42,99.1,41.0
59382,Maretz,59,1417,False,15.3,13.4,9.7,8.1,13.1,10.3,1.6,1.0,1,0.71,99.6,1589.0
59383,Marly,59,12024,False,3.7,1.0,2.2,1.0,5.8,2.2,1.9,1.0,21,1.75,96.3,53.0
59387,Marquette-en-Ostrevant,59,1931,False,9.1,5.1,10.2,7.0,14.9,10.9,2.1,1.0,2,1.04,30.4,51.0
59386,Marquette-lez-Lille,59,11213,True,3.9,2.1,2.7,1.0,5.8,2.4,1.9,1.0,16,1.43,99.9,62.0
59388,Marquillies,59,1982,True,5.9,3.8,5.1,2.6,7.2,5.0,5.9,2.6,3,1.51,92.4,481.0
59390,Masny,59,4056,False,7.2,5.0,2.4,1.0,2.9,1.0,1.7,1.0,5,1.23,86.3,180.0
59392,Maubeuge,59,29066,False,3.6,1.0,2.9,1.0,7.0,3.4,2.3,1.0,56,1.93,96.1,129.0
59399,Merris,59,1049,False,10.8,6.3,10.2,5.6,3.7,1.0,5.2,2.2,3,2.86,97.3,1638.0
59400,Merville,59,9652,False,16.9,10.1,8.9,3.8,13.1,6.8,2.9,1.0,20,2.07,99.5,484.0
59408,Moncheaux,59,1703,False,10.3,8.6,8.5,6.1,2.0,1.0,2.1,1.0,3,1.76,79.6,176.0
59409,Monchecourt,59,2501,False,8.9,7.0,5.5,2.7,8.5,5.7,1.9,1.0,3,1.2,95.3,151.0
59410,Mons-en-Barœul,59,21467,True,2.4,1.0,2.5,1.0,6.8,4.4,1.3,1.0,27,1.26,100.0,13.0
59411,Mons-en-Pévèle,59,2089,False,9.1,4.0,8.3,3.7,2.4,1.0,4.6,1.4,2,0.96,92.1,843.0
59414,Montigny-en-Ostrevent,59,4681,False,9.2,5.4,2.6,1.0,1.8,1.0,1.8,1.0,8,1.71,100.0,304.0
59416,Morbecque,59,2509,False,8.0,3.5,4.0,1.0,3.0,1.0,5.2,1.0,4,1.59,97.2,10280.0
59418,Mortagne-du-Nord,59,1584,False,13.3,10.4,11.5,8.6,16.5,15.3,2.0,1.0,3,1.89,100.0,691.0
59419,Mouchin,59,1441,False,12.2,8.9,9.3,5.2,10.5,7.8,7.5,4.0,4,2.78,99.5,1749.0
59421,Mouvaux,59,13173,True,5.3,3.7,3.6,1.0,7.9,5.3,2.2,1.0,21,1.59,74.4,34.0
59398,Mérignies,59,3360,False,4.3,1.0,3.7,1.4,2.5,1.0,2.7,1.0,5,1.49,100.0,531.0
59401,Méteren,59,2256,False,5.7,2.7,3.0,1.0,5.6,1.0,2.7,1.0,5,2.22,99.3,967.0
59423,Neuf-Berquin,59,1403,False,16.3,14.1,6.7,4.6,8.5,6.3,1.5,1.0,3,2.14,97.7,276.0
59426,Neuville-en-Ferrain,59,10160,True,5.9,3.0,2.1,1.0,7.3,3.5,2.9,1.0,20,1.97,100.0,106.0
59431,Nieppe,59,7606,False,4.7,1.9,2.7,1.0,11.8,7.5,2.5,1.0,19,2.5,98.2,319.0
59434,Nivelle,59,1379,False,7.6,4.7,4.9,2.3,13.6,10.7,2.4,1.0,1,0.73,100.0,1973.0
59435,Nomain,59,2585,False,9.8,5.5,8.7,3.9,9.2,1.5,6.0,2.2,7,2.71,99.7,1104.0
59447,Onnaing,59,8719,False,7.9,5.1,5.9,1.8,7.2,3.8,1.8,1.0,10,1.15,96.6,366.0
59449,Orchies,59,8455,False,3.2,1.0,13.3,9.5,5.6,1.1,2.7,1.0,18,2.13,99.5,113.0
59452,Ostricourt,59,5829,False,4.9,2.8,2.5,1.0,5.1,2.4,2.2,1.0,10,1.72,48.7,520.0
59456,Pecquencourt,59,6232,False,9.4,6.0,2.1,1.0,4.2,1.5,1.5,1.0,12,1.93,98.4,629.0
59459,Petite-Forêt,59,5058,False,6.2,2.9,3.3,1.0,5.2,1.0,1.7,1.0,8,1.58,97.9,67.0
59462,Phalempin,59,4849,False,8.5,3.1,7.2,2.8,4.6,1.0,2.5,1.0,16,3.3,89.2,664.0
59466,Pont-à-Marcq,59,2883,False,2.4,1.0,1.7,1.0,3.9,2.0,1.6,1.0,6,2.08,98.4,61.0
59475,Prouvy,59,2173,False,5.9,2.5,7.0,3.5,14.2,10.2,1.3,1.0,6,2.76,99.7,483.0
59477,Provin,59,4469,True,14.0,11.6,1.6,1.0,7.6,5.5,2.4,1.0,8,1.79,75.4,37.0
59470,Prémesques,59,2060,True,9.6,7.7,5.7,2.7,9.1,6.8,2.2,1.0,6,2.91,100.0,660.0
59471,Préseau,59,2065,False,9.6,8.4,6.6,5.4,8.1,5.2,1.4,1.0,3,1.45,100.0,697.0
59457,Pérenchies,59,8519,True,7.9,5.2,5.1,1.6,6.7,4.0,2.3,1.0,15,1.76,97.2,16.0
59458,Péronne-en-Mélantois,59,1004,True,9.0,7.5,7.7,5.3,4.2,1.0,6.7,4.4,2,1.99,100.0,388.0
59479,Quarouble,59,3131,False,6.6,2.8,6.2,2.8,9.0,7.0,2.6,1.0,9,2.87,100.0,1888.0
59482,Quesnoy-sur-Deûle,59,6920,True,14.3,11.0,2.3,1.0,2.9,1.0,2.7,1.0,11,1.59,95.1,260.0
59485,Quiévy,59,1801,False,10.4,8.5,10.5,8.2,10.7,8.8,7.6,5.4,1,0.56,100.0,632.0
59487,Radinghem-en-Weppes,59,1393,True,11.5,8.9,6.7,4.1,7.7,4.8,2.1,1.0,3,2.15,99.4,472.0
59489,Raimbeaucourt,59,4015,False,8.7,5.0,5.3,2.3,5.7,2.4,2.1,1.0,7,1.74,77.5,794.0
59491,Raismes,59,12055,False,4.7,1.0,3.4,1.0,7.6,2.5,2.1,1.0,16,1.33,97.4,378.0
59497,Renescure,59,2128,False,8.0,4.5,4.4,1.0,8.9,5.5,2.7,1.0,5,2.35,99.6,1792.0
59499,Rexpoëde,59,1992,False,19.5,16.8,7.5,4.5,1.3,1.0,1.4,1.0,2,1.0,98.6,457.0
59501,Rieulay,59,1243,False,6.0,4.2,1.5,1.0,2.2,1.0,3.6,1.4,2,1.61,100.0,2624.0
59502,Rieux-en-Cambrésis,59,1438,False,14.7,13.4,12.9,11.4,6.4,4.8,4.8,3.1,1,0.7,97.6,346.0
59507,Ronchin,59,19437,True,2.7,1.0,2.1,1.0,9.3,6.9,1.8,1.0,44,2.26,93.8,19.0
59508,Roncq,59,13784,True,3.3,1.0,2.3,1.0,3.1,1.0,3.1,1.0,22,1.6,100.0,108.0
59509,Roost-Warendin,59,5976,False,6.3,3.0,2.4,1.0,8.2,5.7,1.7,1.0,9,1.51,96.1,369.0
59511,Rosult,59,1973,False,10.2,6.7,10.5,8.0,6.7,4.0,2.9,1.0,1,0.51,100.0,988.0
59512,Roubaix,59,98892,True,2.7,1.0,1.6,1.0,9.8,5.8,1.4,1.0,104,1.05,88.3,8.0
