code_insee,commune,dep,PMUN,dans_MEL,revenu_dispo_ref_mois_eur,taux_pauvrete_pct,cout_achat_maison_mois_eur,cout_location_maison_mois_eur,cout_transport_mois_eur,transport_contraint_voiture,reste_a_vivre_achat_eur,taux_effort_achat_pct,reste_a_vivre_location_eur,taux_effort_location_pct
59330,Landas,59,2447,False,3872.0,,1024.0,1022.0,32.0,False,2816.0,27.3,2818.0,27.2
59332,Lannoy,59,1800,True,2784.0,,739.0,1126.0,0.0,False,2045.0,26.5,1658.0,40.4
59334,Lauwin-Planque,59,1582,False,3434.0,,763.0,878.0,37.0,False,2634.0,23.3,2519.0,26.6
59180,Le Doulieu,59,1454,False,3763.0,,856.0,892.0,428.0,True,2479.0,34.1,2443.0,35.1
59335,Lecelles,59,3004,False,3763.0,,818.0,1023.0,41.0,False,2904.0,22.8,2699.0,28.3
59339,Leers,59,9588,True,3445.0,8.0,1128.0,1133.0,28.0,False,2289.0,33.6,2284.0,33.7
59340,Leffrinckoucke,59,4124,False,3304.0,10.0,1077.0,1021.0,848.0,True,1379.0,58.3,1435.0,56.6
59343,Lesquin,59,9241,True,3612.0,8.0,1267.0,1150.0,13.0,False,2332.0,35.4,2449.0,32.2
59345,Lewarde,59,2403,False,2969.0,20.0,639.0,848.0,47.0,False,2283.0,23.1,2074.0,30.1
59346,Lezennes,59,3019,True,3656.0,7.0,1161.0,1196.0,0.0,False,2495.0,31.8,2460.0,32.7
59348,Lieu-Saint-Amand,59,1461,False,3171.0,,692.0,811.0,649.0,True,1830.0,42.3,1711.0,46.0
59350,Lille,59,236710,True,2898.0,27.0,1194.0,1210.0,0.0,False,1704.0,41.2,1688.0,41.8
59352,Linselles,59,8192,True,3585.0,9.0,1236.0,1063.0,28.0,False,2321.0,35.3,2494.0,30.4
59356,Lompret,59,2182,True,4879.0,,1564.0,1164.0,0.0,False,3315.0,32.1,3715.0,23.9
59360,Loos,59,23013,True,2770.0,23.0,986.0,1114.0,0.0,False,1784.0,35.6,1656.0,40.2
59361,Lourches,59,3814,False,2235.0,36.0,424.0,798.0,527.0,True,1284.0,42.6,910.0,59.3
59367,Lys-lez-Lannoy,59,13793,True,3164.0,15.0,1016.0,1098.0,16.0,False,2132.0,32.6,2050.0,35.2
59369,Maing,59,4004,False,3245.0,13.0,681.0,893.0,586.0,True,1978.0,39.0,1766.0,45.6
59375,Marchiennes,59,4539,False,3332.0,11.0,811.0,889.0,386.0,True,2135.0,35.9,2057.0,38.3
59378,Marcq-en-Barœul,59,39356,True,4165.0,10.0,1773.0,1390.0,0.0,False,2392.0,42.6,2775.0,33.4
59382,Maretz,59,1417,False,2712.0,,349.0,701.0,88.0,False,2275.0,16.1,1923.0,29.1
59383,Marly,59,12024,False,2784.0,23.0,624.0,903.0,52.0,False,2108.0,24.3,1829.0,34.3
59387,Marquette-en-Ostrevant,59,1931,False,2890.0,,622.0,787.0,525.0,True,1743.0,39.7,1578.0,45.4
59386,Marquette-lez-Lille,59,11213,True,3461.0,11.0,1406.0,1252.0,0.0,False,2055.0,40.6,2209.0,36.2
59388,Marquillies,59,1982,True,3774.0,,1096.0,1018.0,30.0,False,2648.0,29.8,2726.0,27.8
59390,Masny,59,4056,False,2603.0,27.0,609.0,848.0,47.0,False,1947.0,25.2,1708.0,34.4
59392,Maubeuge,59,29066,False,2305.0,36.0,456.0,755.0,91.0,False,1758.0,23.7,1459.0,36.7
59399,Merris,59,1049,False,3562.0,,899.0,875.0,45.0,False,2618.0,26.5,2642.0,25.8
59400,Merville,59,9652,False,2944.0,16.0,722.0,821.0,511.0,True,1711.0,41.9,1612.0,45.2
59408,Moncheaux,59,1703,False,3886.0,,855.0,978.0,33.0,False,2998.0,22.9,2875.0,26.0
