code_insee,commune,dep,PMUN,dans_MEL,navetteurs_MEL,actifs_occ_residents,part_MEL,EPCI,ZE2020,AAV2020,BV2022
62848,Verquin,62,3459,False,114,1376,8.3,200072460,3205,125,62119
62861,Vimy,62,4307,False,146,1828,8.0,246200364,3215,042,62861
62863,Violaines,62,3831,False,802,1783,45.0,200072460,3216,004,59051
62865,Vitry-en-Artois,62,4787,False,183,2009,9.1,200044048,3212,059,59178
62869,Wailly,62,1081,False,35,446,7.8,200033579,3203,069,62041
62875,Wardrecques,62,1346,False,30,556,5.4,200069037,3219,096,62765
62895,Wingles,62,8742,False,920,3345,27.5,246200364,3215,042,62895
62905,Zudausques,62,1040,False,27,514,5.2,246201016,3219,096,62765
62284,Écourt-Saint-Quentin,62,1691,False,45,636,7.0,200044048,3212,059,59015
62291,Éleu-dit-Leauwette,62,2829,False,164,1033,15.9,246200364,3215,042,62498
62321,Évin-Malmaison,62,4674,False,494,1739,28.4,246200299,3215,004,62497
