code_insee,commune,dep,PMUN,dans_MEL,prix_maison_m2,n_ventes_maison,evol_prix_maison_24_25_pct,prix_appart_m2,n_ventes_appart,loyers_maison_m2,loyers_appart_m2,prix_maison_faible_echantillon
62861,Vimy,62,4307,False,1868.0,91,-4.8,1500.0,2,10.07,11.82,False
62863,Violaines,62,3831,False,1910.0,55,,988.0,2,9.59,11.38,False
62865,Vitry-en-Artois,62,4787,False,1769.0,60,5.2,1189.0,2,9.28,11.41,False
62869,Wailly,62,1081,False,1629.0,16,,,0,9.5,11.7,False
62875,Wardrecques,62,1346,False,1546.0,12,,,0,7.91,10.7,True
62895,Wingles,62,8742,False,1606.0,119,1.4,1461.0,1,9.58,11.77,False
62905,Zudausques,62,1040,False,1586.0,12,,,0,8.25,10.48,True
62284,Écourt-Saint-Quentin,62,1691,False,1539.0,29,,,0,9.45,11.46,False
62291,Éleu-dit-Leauwette,62,2829,False,1595.0,54,-5.4,,0,9.15,11.31,False
62321,Évin-Malmaison,62,4674,False,1825.0,80,3.8,,0,9.18,11.59,False
