code_insee,commune,dep,PMUN,dans_MEL,part_logts_vacants,part_maisons,part_proprietaires,part_hlm,part_menages_sans_voiture,part_menages_2voit_plus,evol_pop_2016_2022_pct
62907,Libercourt,62,8138,False,10.0,89.2,43.9,38.2,20.2,32.8,-4.2
62516,Lillers,62,9988,False,9.5,81.3,54.2,18.4,19.0,33.8,1.4
62510,Liévin,62,30149,False,6.4,74.8,40.9,37.1,23.1,28.5,-2.7
62520,Locon,62,2342,False,3.8,94.4,81.8,1.1,6.0,56.6,-2.8
62523,Loison-sous-Lens,62,5255,False,4.6,86.4,61.1,23.7,16.5,35.4,-4.0
62525,Longuenesse,62,10568,False,3.8,63.0,52.6,32.6,21.2,28.0,-4.3
62528,Loos-en-Gohelle,62,6896,False,6.2,87.4,59.8,22.3,13.2,38.9,3.1
62529,Lorgies,62,1609,False,3.5,97.9,88.7,0.0,4.8,61.6,2.8
62540,Maisnil-lès-Ruitz,62,1691,False,4.6,97.5,66.3,15.5,7.9,49.8,1.8
62543,Mametz,62,1998,False,4.1,84.9,75.9,4.8,8.0,46.7,-0.3
62557,Marœuil,62,2441,False,4.3,94.0,79.7,4.5,5.9,47.3,-1.9
62563,Mazingarbe,62,8068,False,5.8,85.2,37.6,36.5,17.1,35.3,1.9
62573,Meurchin,62,3717,False,5.6,90.7,66.6,19.8,10.6,46.2,-2.4
62584,Mont-Bernanchon,62,1316,False,5.8,96.3,88.7,0.0,4.0,58.1,-3.2
