code_insee,commune,dep,PMUN,dans_MEL,voiture_pointe_min,voiture_libre_min,bouchons_min,voiture_km,temps_sans_voiture_min,mode_sans_voiture,meilleur_temps_vers_lille_min,gare_utile_sur_place,indice_congestion,part_trajet_bouchons_pct,min_perdues_jour,h_perdues_an,vitesse_pointe_kmh,vitesse_libre_kmh,sans_alternative
59271,Grande-Synthe,59,20331,False,67.9,52.2,15.6,81.1,95.5,TER,95.5,False,1.301,23.0,31.0,114.0,72.0,93.0,False
59029,Auchy-lez-Orchies,59,1486,False,37.6,22.1,15.5,28.1,52.0,velo+TER,39.4,False,1.701,41.2,31.0,114.0,45.0,76.0,False
59221,Famars,59,2475,False,53.8,38.3,15.5,56.1,73.0,velo+TER,65.2,False,1.405,28.8,31.0,114.0,63.0,88.0,False
59511,Rosult,59,1973,False,41.6,26.1,15.5,35.6,48.7,TER,48.7,True,1.594,37.3,31.0,114.0,51.0,82.0,False
59113,Bruille-lez-Marchiennes,59,1350,False,53.4,37.9,15.5,42.5,68.0,velo+TER,60.2,False,1.409,29.0,31.0,114.0,48.0,67.0,False
59557,Saultain,59,2553,False,53.7,38.2,15.5,59.5,,,64.5,False,1.406,28.9,31.0,114.0,66.0,93.0,True
59526,Saint-Amand-les-Eaux,59,15980,False,47.2,31.8,15.4,43.7,46.0,TER,46.0,True,1.484,32.6,31.0,113.0,56.0,82.0,False
59185,Écaillon,59,1910,False,55.5,40.1,15.4,44.6,62.0,velo+TER,54.2,False,1.384,27.7,31.0,113.0,48.0,67.0,False
59551,Saméon,59,1738,False,43.2,27.9,15.4,38.0,61.0,velo+TER,53.0,False,1.548,35.6,31.0,113.0,53.0,82.0,False
59266,Gondecourt,59,4050,False,39.7,24.3,15.4,21.8,43.0,velo+TER,30.0,False,1.634,38.8,31.0,113.0,33.0,54.0,False
59080,Beuvry-la-Forêt,59,2834,False,41.9,26.4,15.4,30.3,55.0,velo+TER,48.6,False,1.587,36.8,31.0,113.0,43.0,69.0,False
59449,Orchies,59,8455,False,35.6,20.2,15.4,25.7,33.4,TER,33.4,True,1.762,43.3,31.0,113.0,43.0,76.0,False
59027,Aubry-du-Hainaut,59,1726,False,47.4,32.0,15.4,47.7,80.0,velo+TER,63.8,False,1.481,32.5,31.0,113.0,60.0,89.0,False
59630,Wahagnies,59,2605,False,41.9,26.6,15.3,23.1,38.0,velo+TER,33.9,False,1.575,36.5,31.0,112.0,33.0,52.0,False
59639,Wargnies-le-Grand,59,1101,False,54.9,39.6,15.3,64.3,,,77.5,False,1.386,27.9,31.0,112.0,70.0,97.0,True
59383,Marly,59,12024,False,53.2,37.9,15.3,57.3,71.0,velo+TER,61.4,False,1.404,28.8,31.0,112.0,65.0,91.0,False
59459,Petite-Forêt,59,5058,False,45.8,30.5,15.3,46.8,72.0,velo+TER,61.6,False,1.502,33.4,31.0,112.0,61.0,92.0,False
59032,Aulnoy-lez-Valenciennes,59,7183,False,53.7,38.5,15.2,55.5,73.0,velo+TER,65.3,False,1.395,28.3,30.0,111.0,62.0,86.0,False
59205,Escaudain,59,9253,False,55.6,40.5,15.2,51.2,,,63.8,False,1.373,27.3,30.0,111.0,55.0,76.0,True
59651,Wavrechain-sous-Denain,59,1616,False,55.0,40.0,15.1,53.1,,,69.6,False,1.375,27.5,30.0,111.0,58.0,80.0,True
59603,Trith-Saint-Léger,59,6124,False,53.8,38.7,15.1,55.7,61.0,TER,61.0,True,1.39,28.1,30.0,111.0,62.0,86.0,False
59475,Prouvy,59,2173,False,52.9,37.7,15.1,55.1,66.4,TER,66.4,False,1.403,28.5,30.0,111.0,62.0,88.0,False
59564,La Sentinelle,59,3143,False,47.9,32.8,15.1,49.7,75.0,velo+TER,65.7,False,1.46,31.5,30.0,111.0,62.0,91.0,False
59297,Hélesmes,59,1921,False,49.7,34.6,15.1,46.9,,,64.8,False,1.436,30.4,30.0,111.0,57.0,81.0,True
59390,Masny,59,4056,False,60.0,45.0,15.0,47.4,61.0,velo+TER,54.1,False,1.333,25.0,30.0,110.0,47.0,63.0,False
59330,Landas,59,2447,False,41.7,26.7,15.0,30.9,44.7,TER ~ velo+TER,44.7,True,1.562,36.0,30.0,110.0,44.0,69.0,False
59435,Nomain,59,2585,False,40.7,25.7,14.9,30.1,38.1,TER,38.1,False,1.584,36.6,30.0,109.0,44.0,70.0,False
59471,Préseau,59,2065,False,54.5,39.6,14.9,59.3,,,69.1,False,1.376,27.3,30.0,109.0,65.0,90.0,True
59094,Bourbourg,59,7023,False,72.3,57.4,14.9,88.6,99.3,TER,99.3,False,1.26,20.6,30.0,109.0,74.0,93.0,False
59022,Attiches,59,2238,False,34.4,19.4,14.9,18.2,51.0,velo+TER,41.7,False,1.773,43.3,30.0,109.0,32.0,56.0,False
59024,Auberchicourt,59,4626,False,60.1,45.3,14.8,47.6,72.0,velo+TER,56.9,False,1.327,24.6,30.0,109.0,48.0,63.0,False
59382,Maretz,59,1417,False,84.3,69.5,14.8,107.2,120.0,velo+TER,113.6,False,1.213,17.6,30.0,109.0,76.0,93.0,False
59260,Ghyvelde,59,4119,False,69.6,54.8,14.8,74.6,,,94.8,False,1.27,21.3,30.0,109.0,64.0,82.0,True
59314,Hornaing,59,3535,False,53.1,38.4,14.7,48.6,78.0,velo+TER,62.9,False,1.383,27.7,29.0,108.0,55.0,76.0,False
